Symbol,Current Ratio,Earnings Growth,Price,Profit Margin,ROE,Revenue Growth
ACN,1.34,6.60%,157.39,10.26%,41.25%,10.90%
ATVI,2.98,62.50%,68.99,6.96%,5.05%,0.60%
ADBE,1.66,59.50%,239.64,28.16%,28.35%,24.40%
AVGO,3.98,137.70%,220.77,57.67%,48.13%,13.40%
CDNS,1.30,8.00%,45.15,10.62%,20.07%,8.20%
CTSH,3.27,-2.30%,69.50,9.37%,13.75%,9.20%
EBAY,2.37,"2,289.50%",29.87,-10.24%,-11.07%,9.10%
EA,3.84,-53.90%,92.46,14.30%,14.20%,-21.50%
FB,10.67,31.90%,150.35,39.32%,26.14%,41.90%
FISV,1.09,17.60%,74.99,25.14%,54.87%,2.50%
GPN,1.09,55.00%,114.57,14.86%,16.64%,-13.40%
HPE,1.00,195.20%,15.89,10.43%,12.04%,3.50%
INTU,1.14,106.30%,212.98,20.31%,65.32%,17.30%
MA,1.51,36.40%,197.72,33.81%,83.52%,20.00%
MCHP,1.32,-80.00%,69.74,2.86%,2.82%,24.70%
MSFT,2.90,10.80%,106.16,15.02%,19.45%,17.50%
NVDA,7.41,91.30%,214.92,36.21%,58.25%,40.00%
PAYX,1.15,15.50%,65.49,28.02%,44.65%,8.80%
PYPL,1.28,16.10%,83.51,13.98%,13.70%,13.70%
RHT,1.23,-13.20%,172.24,9.08%,21.30%,13.70%
CRM,0.80,550.00%,136.79,6.14%,6.58%,27.30%
SWKS,7.34,18.90%,85.27,23.78%,22.91%,-0.70%
SNPS,0.70,-30.70%,89.56,1.92%,1.76%,12.10%
TTWO,1.49,11.30%,128.37,10.49%,12.53%,-7.20%
TEL,1.47,5.90%,77.44,9.26%,14.34%,11.80%
TXN,6.54,35.90%,95.06,28.08%,41.23%,8.80%
TSS,2.55,25.00%,90.58,14.38%,27.37%,-17.60%
V,1.69,16.20%,139.78,47.91%,29.41%,14.80%
